"#";"Iniciar";"Localização";"Descrição"
"70";"25/08/2023 09:05";"=HYPERLINK(""http://maps.google.com/?q=-26,60669,-51,1002895"",""Calmon (Calmon)"")";"Em andamento"
"71";"25/08/2023 09:09";"=HYPERLINK(""http://maps.google.com/?q=-26,606271,-51,0996544"",""Calmon (Calmon)"")";"Paragem do Motor"
"72";"25/08/2023 09:09";"=HYPERLINK(""http://maps.google.com/?q=-26,606271,-51,0996544"",""Calmon (Calmon)"")";"Chave Desligada"
"73";"25/08/2023 09:10";"=HYPERLINK(""http://maps.google.com/?q=-26,6062698,-51,0996528"",""Calmon (Calmon)"")";"GSM Diagnostics-pt"
"74";"25/08/2023 09:24";"=HYPERLINK(""http://maps.google.com/?q=-26,6062636,-51,0996498"",""Calmon (Calmon)"")";"GSM Metrics-pt"
"75";"25/08/2023 09:24";"=HYPERLINK(""http://maps.google.com/?q=-26,6062636,-51,0996498"",""Calmon (Calmon)"")";"Prestes a Entrar em Estado de Descanso"
"76";"25/08/2023 09:24";"=HYPERLINK(""http://maps.google.com/?q=-26,6062636,-51,0996498"",""Calmon (Calmon)"")";"Estado Activo"
"77";"25/08/2023 09:24";"=HYPERLINK(""http://maps.google.com/?q=-26,6062636,-51,0996498"",""Calmon (Calmon)"")";"Ligado"
"78";"25/08/2023 09:24";"=HYPERLINK(""http://maps.google.com/?q=-26,6062636,-51,0996498"",""Calmon (Calmon)"")";"Chave Ligada"
"79";"25/08/2023 09:25";"=HYPERLINK(""http://maps.google.com/?q=-26,6062636,-51,0996498"",""Calmon (Calmon)"")";"Arranque do Motor"
"80";"25/08/2023 09:26";"=HYPERLINK(""http://maps.google.com/?q=-26,605398,-51,0989114"",""Calmon (Calmon)"")";"Primeiro Acerto do GPS"
"81";"25/08/2023 09:26";"=HYPERLINK(""http://maps.google.com/?q=-26,605398,-51,0989114"",""Calmon (Calmon)"")";"Em andamento"
"82";"25/08/2023 09:26";"=HYPERLINK(""http://maps.google.com/?q=-26,6053321,-51,0989694"",""Calmon (Calmon)"")";"Em andamento"
"83";"25/08/2023 09:30";"=HYPERLINK(""http://maps.google.com/?q=-26,600329,-51,0977398"",""Calmon (Calmon)"")";"Parado"
"84";"25/08/2023 09:30";"=HYPERLINK(""http://maps.google.com/?q=-26,6002806,-51,0981081"",""Calmon (Calmon)"")";"Paragem do Motor"
"85";"25/08/2023 09:30";"=HYPERLINK(""http://maps.google.com/?q=-26,6002806,-51,0981081"",""Calmon (Calmon)"")";"Chave Desligada"
"86";"25/08/2023 09:39";"=HYPERLINK(""http://maps.google.com/?q=-26,6002615,-51,0981296"",""Calmon (Calmon)"")";"Chave Ligada"
"87";"25/08/2023 09:39";"=HYPERLINK(""http://maps.google.com/?q=-26,6002615,-51,0981296"",""Calmon (Calmon)"")";"Arranque do Motor"
"88";"25/08/2023 09:40";"=HYPERLINK(""http://maps.google.com/?q=-26,6001628,-51,0979499"",""Calmon (Calmon)"")";"Em andamento"
"89";"25/08/2023 09:40";"=HYPERLINK(""http://maps.google.com/?q=-26,6000775,-51,0979801"",""Calmon (Calmon)"")";"Em andamento"
"90";"25/08/2023 09:43";"=HYPERLINK(""http://maps.google.com/?q=-26,5945071,-51,1040765"",""Calmon (Calmon)"")";"Paragem do Motor"
"91";"25/08/2023 09:43";"=HYPERLINK(""http://maps.google.com/?q=-26,5945071,-51,1040765"",""Calmon (Calmon)"")";"Chave Desligada"
"92";"25/08/2023 09:45";"=HYPERLINK(""http://maps.google.com/?q=-26,5945234,-51,1040621"",""Calmon (Calmon)"")";"Parado"
"93";"25/08/2023 09:45";"=HYPERLINK(""http://maps.google.com/?q=-26,5945101,-51,1040788"",""Calmon (Calmon)"")";"Chave Ligada"
